TKR,NAME,CAP,PRC,TGT,UP%,#T,%B,#A,AM,A,EXR,B,52W,2H,PET,PEF,P/S,PEG,DV,SI,EG,PP,ROE,DE,FCF,ERN,SZ,BS,SIGNAL_TRACK,SIGNAL_HORIZON
8795.T,"T&D HOLDINGS, ",2.27T,4769.00,5125.00,7.5%,10,50%,10,0,A,3.7%,0.0,92,Y,17.1,19.3,1.2,--,3.40%,--,--,25.23,9.3,13.9,--,06/30,10.5k,H,value,90
2503.T,KIRIN HOLDINGS,2.26T,2833.50,2967.80,4.7%,15,40%,15,0,A,1.9%,0.0,90,Y,11.7,16.5,0.7,1.7,2.67%,--,--,31.04,15.1,50.2,10.0%,03/31,10.5k,S,--,30
9532.T,"OSAKA GAS CO.,",2.25T,5923.00,6291.67,6.2%,6.0,83%,6.0,0,A,5.2%,-0.2,87,Y,15.1,20.2,1.0,--,2.22%,--,--,41.81,7.9,42.4,--,06/30,11k,B,momentum,30
8697.T,JAPAN EXCHANGE,2.25T,2207.00,2284.00,3.5%,5.0,40%,5.0,-1,A,1.4%,--,94,Y,37.7,35.6,2.2,15.0,3.54%,--,--,49.68,--,15.7,--,06/30,10k,S,--,30
1288.HK,AGRICULTURAL B,2.20T,6.30,6.89,9.4%,15.0,86%,15.0,+1,A,8.1%,0.2,95,Y,6.6,6.2,0.4,1.1,4.41%,--,-12.5,22.36,9.3,--,--,06/30,11.5k,B,momentum,7
9988.HK,ALIBABA GROUP ,2.18T,109.50,176.52,61.2%,27.0,92%,27.0,-2,A,56.3%,0.5,59,N,25.3,11.7,0.5,0.5,0.94%,--,-49.5,-20.16,6.4,23.9,-3.8%,06/30,15k,H,value,90
BABA,ALIBABA GROUP ,2.18T,109.50,176.52,61.2%,27,92%,27,-2,A,56.3%,0.5,59,N,25.3,11.7,0.5,0.5,0.94%,--,-49.5,-22.71,6.4,23.9,-3.8%,06/30,15k,H,value,90
7453.T,RYOHIN KEIKAKU,2.16T,4077.00,4778.75,17.2%,16.0,81%,16.0,+1,A,13.9%,1.0,88,Y,36.4,25.9,1.0,--,0.77%,--,--,33.63,-4.8,59.9,-0.3%,11/30,12.5k,B,momentum,30
1801.T,TAISEI CORPORA,2.16T,13280.00,16114.29,21.3%,7.0,85%,7.0,0,A,18.1%,0.5,64,N,13.0,27.9,1.0,--,2.89%,--,--,34.72,--,45.9,--,06/30,13k,H,value,90
1928.T,"SEKISUI HOUSE,",2.15T,3309.00,3827.78,15.7%,9.0,55%,9.0,0,A,8.6%,0.3,86,N,8.3,8.8,0.3,--,4.42%,--,-14.3,-0.83,12.6,84.8,--,04/30,11.5k,H,--,30
1802.T,OBAYASHI CORPO,2.12T,3087.00,3837.50,24.3%,8.0,87%,8.0,0,A,21.2%,0.5,70,N,12.4,22.4,0.8,--,3.08%,--,--,27.19,16.2,27.4,--,06/30,13.5k,H,value,90
7012.T,KAWASAKI HEAVY,2.11T,2421.50,3738.46,54.4%,13.0,69%,13.0,-1,A,37.5%,0.9,64,N,18.7,4.2,0.1,1.2,1.68%,--,--,34.71,14.4,92.9,-4.3%,06/30,15k,H,value,90
7186.T,YOKOHAMA FINAN,2.10T,1889.00,2067.78,9.5%,9,77%,9,+1,A,7.3%,0.2,95,Y,20.1,25.5,1.6,--,2.54%,--,--,73.52,--,--,--,06/30,11k,B,momentum,7
6988.T,NITTO DENKO CO,2.10T,3182.00,3727.27,17.1%,11,36%,11,-1,A,6.2%,0.5,78,N,16.1,16.6,0.7,2.5,2.01%,--,--,-5.97,12.5,--,1.6%,06/30,11k,S,--,30
3407.T,ASAHI KASEI CO,2.09T,1558.50,1984.17,27.3%,12,83%,12,0,A,22.7%,0.6,82,N,13.7,15.5,0.6,--,2.80%,--,--,33.88,9.8,56.9,-1.2%,06/30,14k,B,value,90
9531.T,"TOKYO GAS CO.,",2.05T,6214.00,6506.00,4.7%,6.0,--,6.0,0,A,0.0,-0.1,78,N,9.5,22.9,1.2,--,1.95%,--,--,11.46,9.6,70.1,--,06/30,10k,S,value,90
7733.T,OLYMPUS CORPOR,2.03T,1913.50,2157.69,12.8%,14.0,35%,14.0,0,A,4.5%,0.2,87,Y,31.3,15.2,0.5,--,1.53%,--,--,6.59,10.6,42.6,0.9%,12/31,10.5k,S,value,90
6361.T,EBARA CORPORAT,2.03T,4453.00,6370.91,43.1%,11.0,72%,11.0,-1,A,31.0%,0.9,65,N,25.9,29.1,1.0,--,1.50%,--,--,46.06,9.6,39.5,1.9%,03/31,15k,H,value,90
SPCX,SPACE EXPLORAT,2.02T,153.47,222.32,44.9%,35.0,88%,40.0,+21,E,39.3%,--,68,Y,--,96.8,3.4,--,--,2.9%,-2.5,--,--,31.2,--,06/30,15k,H,value,90
9107.T,KAWASAKI KISEN,1.99T,3356.00,2756.36,-17.9%,11,9%,11,0,A,-1.6%,--,93,Y,16.0,9.6,0.3,--,3.50%,--,--,52.35,7.6,13.0,--,06/30,10k,S,value,90
5019.T,IDEMITSU KOSAN,1.96T,1635.50,1397.14,-14.6%,8,25%,8,0,A,-3.6%,0.3,98,Y,11.6,12.4,0.7,--,2.33%,--,--,68.5,22.5,136.9,--,06/30,10k,S,value,90
6504.T,FUJI ELECTRIC ,1.94T,13295.00,16366.67,23.1%,9,77%,9,-1,A,17.8%,0.9,75,Y,20.0,21.9,0.8,--,1.68%,--,--,41.48,14.3,8.0,2.3%,06/30,13k,H,value,90
6963.T,"ROHM CO., LTD.",1.91T,4951.00,5800.00,17.1%,11,54%,11,+2,A,9.3%,0.8,81,Y,--,57.0,1.7,--,1.03%,--,22.5,141.95,--,51.6,--,06/30,11.5k,H,value,90
8331.T,THE CHIBA BANK,1.90T,2754.00,2895.71,5.1%,8.0,62%,8.0,0,A,3.2%,0.1,95,Y,19.3,25.0,1.5,--,2.33%,--,33.3,87.87,8.3,--,--,06/30,10.5k,H,value,90
3988.HK,BANK OF CHINA ,1.89T,5.88,6.30,7.2%,17.0,88%,17.0,0,A,6.4%,0.1,96,Y,6.9,6.3,0.4,1.2,4.35%,--,11.5,43.15,8.3,--,--,06/30,11k,B,momentum,7
0857.HK,PETROCHINA COM,1.89T,10.35,11.64,12.5%,17,88%,17,0,A,11.0%,0.6,85,Y,9.2,9.3,0.5,--,5.81%,--,49.5,41.28,10.7,21.6,5.5%,06/30,12k,B,momentum,30
5831.T,SHIZUOKA FINAN,1.88T,3547.00,3642.86,2.7%,7.0,71%,7.0,+1,A,1.9%,0.3,96,Y,21.7,28.4,1.8,--,3.03%,--,--,89.8,8.2,--,--,06/30,10.5k,H,value,90
9843.T,NITORI HOLDING,1.87T,3302.00,3008.18,-8.9%,11.0,36%,11.0,+1,A,-3.2%,0.9,95,Y,20.9,3.7,0.1,--,0.94%,--,--,19.87,9.2,14.9,--,06/30,10k,S,value,90
7270.T,SUBARU CORPORA,1.80T,2549.00,2736.67,7.4%,15.0,20%,15.0,-1,A,1.5%,0.1,70,N,20.3,5.7,0.2,--,4.57%,--,--,-15.78,3.1,13.1,-3.6%,06/30,10k,S,value,90
3402.T,TORAY INDUSTRI,1.78T,1224.00,1398.33,14.2%,12,75%,12,0,A,10.7%,0.5,88,Y,23.2,18.1,0.7,--,1.90%,--,--,25.59,5.6,46.3,--,06/30,12k,B,momentum,30
VOO,VANGUARD S&P 5,1.76T,704.07,--,--,--,--,--,--,,--,--,98,Y,25.8,--,--,--,1.04%,--,--,--,--,--,--,--,10k,I,--,30
AVGO,BROADCOM INC.,1.75T,368.56,533.41,44.7%,49,81%,16,+2,E,36.3%,1.5,74,N,47.0,19.0,0.6,0.4,0.73%,1.2%,124.9,--,44.2,59.6,1.7%,07/31,15k,B,value,90
0941.HK,CHINA MOBILE L,1.71T,78.90,96.47,22.3%,15.0,80%,15.0,0,A,17.8%,0.3,89,N,11.2,10.9,0.7,54.2,6.87%,--,--,-1.53,9.3,6.9,6.3%,03/31,13k,H,value,90
1803.T,SHIMIZU CORPOR,1.71T,2520.00,2964.29,17.6%,7.0,57%,7.0,0,A,10.0%,0.4,70,N,13.5,30.7,1.1,--,3.14%,--,--,21.68,17.6,55.7,--,06/30,11.5k,H,value,90
7272.T,YAMAHA MOTOR C,1.68T,1728.50,1695.00,-1.9%,10.0,10%,10.0,0,A,-0.2%,0.5,87,Y,7.7,9.1,0.4,--,2.87%,--,--,56.55,7.7,79.6,3.5%,03/31,10k,S,value,90
2801.T,KIKKOMAN CORPO,1.60T,1722.50,1880.83,9.2%,12,58%,12,0,A,5.3%,0.0,92,Y,26.1,26.8,1.1,4.7,1.44%,--,--,32.09,12.1,10.6,--,06/30,11k,H,value,90
4188.T,MITSUBISHI CHE,1.59T,1169.00,1243.64,6.4%,11,36%,11,+1,A,2.3%,0.7,90,Y,--,12.8,0.5,--,2.76%,--,--,37.42,1.4,73.8,26.7%,06/30,10.5k,S,--,30
BTC,BITCOIN USD,1.58T,78734.17,--,--,--,--,--,--,,--,--,62,Y,--,--,--,--,--,--,--,--,--,--,--,--,10k,H,--,30
4755.T,"RAKUTEN GROUP,",1.57T,718.50,953.33,32.7%,15,46%,15,0,A,15.0%,0.9,67,N,--,-94.4,--,--,--,--,--,-20.84,0.3,363.8,-20.3%,06/30,12.5k,S,--,30
META,META PLATFORMS,1.56T,613.48,754.77,23.0%,62,88%,62,-2,A,20.3%,1.2,78,N,23.1,17.5,1.1,0.8,0.34%,1.3%,485.0,-19.62,29.8,43.0,1.4%,06/30,13.5k,B,value,90
5706.T,MITSUI KINZOKU,1.51T,26405.00,50220.00,90.2%,10.0,90%,10.0,+1,A,81.2%,1.4,46,N,16.5,43.9,1.6,--,0.11%,--,--,168.75,30.6,27.8,--,06/30,15k,H,value,90
7202.T,ISUZU MOTORS L,1.47T,2138.50,2576.92,20.5%,13,61%,13,+1,A,12.5%,0.4,73,N,11.1,8.4,0.3,--,4.41%,--,--,12.78,11.6,60.2,-9.5%,06/30,12k,H,value,90
8354.T,FUKUOKA FINANC,1.46T,7733.00,7374.44,-4.6%,9.0,33%,9.0,0,A,-1.5%,0.1,96,Y,17.1,19.0,1.2,--,2.72%,--,--,80.38,8.7,--,--,06/30,10k,S,value,90
TSLA,"TESLA, INC.",1.45T,368.16,390.09,6.0%,46.0,37%,27.0,-2,E,2.2%,1.8,74,N,334.7,170.6,6.8,4.2,--,2.0%,-18.9,6.11,4.7,18.4,0.3%,06/30,10.5k,S,--,30
5333.T,NGK CORPORATIO,1.44T,5131.00,6987.14,36.2%,7.0,57%,7.0,0,A,20.6%,0.6,65,Y,24.9,25.7,0.9,--,2.11%,--,--,115.93,9.2,28.3,--,06/30,13.5k,H,value,90
7911.T,TOPPAN HOLDING,1.43T,5083.00,6350.00,24.9%,5,100%,5,0,A,24.9%,0.5,86,Y,22.4,19.0,0.7,--,0.58%,--,--,30.41,5.6,37.4,--,06/30,14k,B,momentum,30
6479.T,MINEBEA MITSUM,1.36T,3391.00,4754.67,40.2%,15.0,66%,15.0,-1,A,26.5%,1.0,64,N,13.8,15.8,0.5,--,1.80%,--,--,30.36,--,52.1,--,06/30,14.5k,H,value,90
3308.HK,ZHONGJI INNOLI,1.36T,1161.00,2058.03,77.3%,3,100%,3,--,A,77.3%,1.5,88,Y,54.4,14.8,0.5,--,0.24%,--,228.2,21.11,64.6,4.1,0.0%,06/30,15k,I,--,30
9021.T,WEST JAPAN RAI,1.36T,2996.50,3105.45,3.6%,11.0,18%,11.0,-1,A,0.7%,0.1,85,N,10.8,12.7,0.5,55.5,3.24%,--,--,-9.34,9.3,115.2,--,06/30,10k,S,value,90
4911.T,SHISEIDO COMPA,1.34T,3365.00,3566.38,6.0%,16.0,43%,16.0,+1,A,2.6%,0.6,88,Y,--,27.1,1.1,--,1.79%,--,--,42.56,-3.1,51.5,4.2%,03/31,10.5k,S,--,30
9602.T,"TOHO CO., LTD.",1.32T,1583.00,1715.45,8.4%,11,72%,11,+2,A,6.0%,-0.1,79,Y,25.9,6.4,0.4,--,1.37%,--,--,-13.75,9.7,0.3,--,05/31,11k,H,value,90
SKHY,SK HYNIX INC.,1.32T,185.55,247.31,33.3%,14.0,100%,11.0,+8,E,33.3%,2.4,95,Y,11.1,5.4,0.2,0.3,--,--,644.9,--,354.1,72.1,4234.0%,06/30,15k,B,value+momentum,45
3968.HK,CHINA MERCHANT,1.31T,51.90,59.42,14.5%,19,84%,19,+1,A,12.2%,0.5,97,Y,7.7,7.1,0.4,1.3,8.60%,--,2.5,15.66,11.5,--,--,06/30,12k,B,value+momentum,45
7912.T,DAI NIPPON PRI,1.30T,3036.00,3260.00,7.4%,5.0,40%,5.0,0,A,3.0%,0.4,90,Y,12.9,15.5,0.6,--,1.35%,--,-29.7,19.3,6.9,18.9,--,03/31,10.5k,S,--,30
4523.T,"EISAI CO., LTD",1.30T,4592.00,4575.00,-0.4%,14,28%,14,0,A,-0.1%,-0.1,86,N,33.5,22.7,0.8,--,3.44%,--,--,-10.37,5.0,29.1,-2.1%,06/30,10k,S,value,90
NOVO-B.CO,NOVO NORDISK A,1.29T,292.00,309.30,5.9%,24.0,16%,24.0,-3,A,0.9%,0.3,71,N,11.1,13.4,0.5,3.3,3.91%,--,4.9,--,59.8,63.3,2.9%,06/30,10k,S,value,90
NVO,NOVO NORDISK A,1.29T,292.00,309.30,5.9%,24.0,16%,24.0,-3,A,0.9%,0.3,71,N,11.1,13.4,0.5,3.3,3.91%,--,4.9,--,59.8,63.3,2.9%,06/30,10k,S,value,90
9202.T,ANA HOLDINGS I,1.29T,2971.00,3465.83,16.7%,12,50%,12,+1,A,8.3%,0.5,87,N,9.2,6.1,0.2,3.9,2.01%,--,--,2.42,13.2,84.7,0.3%,06/30,11.5k,H,value,90
9201.T,JAPAN AIRLINES,1.28T,2989.00,3239.09,8.4%,11.0,63%,11.0,+1,A,5.3%,0.4,91,Y,9.7,12.0,0.4,--,3.20%,--,--,-2.29,9.1,55.5,10.5%,06/30,11k,H,value,90
9147.T,NIPPON EXPRESS,1.28T,5402.00,5252.50,-2.8%,8.0,37%,8.0,0,A,-1.0%,0.6,92,Y,69.5,8.7,0.3,--,1.85%,--,--,61.68,2.4,101.7,9.2%,03/31,10k,S,--,30
INVE-A.ST,INVESTOR AB (P,1.24T,403.80,420.00,4.0%,3,33%,3,0,A,1.3%,0.8,96,Y,4.7,--,--,--,1.39%,--,3968.5,--,27.3,11.6,13.4%,06/30,10k,I,--,30
0883.HK,CNOOC LIMITED,1.23T,25.86,31.58,22.1%,16.0,93%,16.0,+1,A,20.6%,0.3,83,Y,7.6,7.2,0.4,--,5.99%,--,--,36.56,16.8,7.9,7.1%,03/31,13.5k,B,value+momentum,45
6305.T,HITACHI CONSTR,1.23T,5785.00,6151.25,6.3%,8,50%,8,+1,A,3.2%,0.9,80,Y,16.8,13.5,0.5,1.0,3.30%,--,--,21.47,10.9,58.4,7.0%,06/30,10.5k,H,value,90
2768.T,SOJITZ CORPORA,1.22T,5846.00,6328.75,8.3%,8.0,37%,8.0,-1,A,3.1%,0.7,81,Y,11.8,11.1,0.4,--,3.11%,--,--,51.02,10.7,125.9,-12.6%,06/30,10.5k,S,--,30
6645.T,OMRON CORPORAT,1.20T,6102.00,6950.00,13.9%,10.0,50%,10.0,+1,A,6.9%,1.1,84,Y,35.1,22.5,0.7,0.9,1.74%,--,--,61.12,5.1,31.6,-5.4%,06/30,11k,H,value,90
6506.T,YASKAWA ELECTR,1.18T,4552.00,6691.25,47.0%,16.0,75%,16.0,+1,A,35.2%,1.2,58,N,33.5,22.2,0.8,1.7,1.62%,--,--,53.42,7.5,24.5,0.1%,05/31,15k,H,value,90
2269.T,MEIJI HOLDINGS,1.18T,4368.00,4605.00,5.4%,10,60%,10,+2,A,3.3%,0.1,95,Y,33.8,20.9,0.8,1.0,2.50%,--,--,40.99,5.5,16.9,-2.6%,06/30,10.5k,H,value,90
5201.T,AGC INC.,1.18T,5557.00,6653.75,19.7%,8.0,25%,8.0,0,A,4.9%,0.4,67,N,13.0,13.5,0.5,--,3.85%,--,--,18.69,6.1,38.3,0.7%,03/31,11k,S,value,90
4151.T,KYOWA KIRIN CO,1.17T,2239.50,2300.00,2.7%,11,18%,11,0,A,0.5%,0.1,77,N,14.6,16.1,0.5,--,2.96%,--,--,-10.39,9.3,--,2.6%,03/31,10k,S,value,90
5411.T,"JFE HOLDINGS, ",1.16T,1831.00,1841.11,0.6%,9,11%,9,0,A,0.1%,0.9,78,N,17.4,5.8,0.2,--,4.39%,--,--,-0.83,3.8,85.7,--,06/30,10k,S,value,90
6841.T,YOKOGAWA ELECT,1.15T,4601.00,6003.75,30.5%,8,50%,8,0,A,15.2%,--,73,N,20.2,21.3,0.8,--,2.04%,--,--,7.41,--,4.7,--,06/30,12.5k,H,value,90
2413.T,"M3, INC.",1.14T,1703.50,2079.17,22.1%,12,66%,12,-2,A,14.6%,--,62,N,23.5,23.8,0.8,--,1.28%,--,--,-26.73,--,--,--,06/30,12.5k,H,value,90
MU,MICRON TECHNOL,1.13T,1000.26,1513.11,51.3%,49,95%,38,+5,E,48.6%,2.2,80,Y,22.6,6.5,0.2,0.1,0.05%,2.7%,782.3,640.81,66.6,6.3,0.7%,05/31,15k,B,value,90
6976.T,TAIYO YUDEN CO,1.12T,8983.00,16006.25,78.2%,16.0,50%,16.0,+2,A,39.1%,1.6,37,Y,83.4,48.0,1.4,0.8,0.99%,--,--,206.5,5.3,40.3,--,06/30,15k,H,value,90
3436.T,SUMCO CORPORAT,1.10T,3155.00,3861.25,22.4%,16.0,43%,16.0,-1,A,9.6%,1.1,53,Y,--,64.1,1.9,--,0.65%,--,--,155.84,-4.1,57.3,1.2%,03/31,11.5k,S,--,30
5101.T,THE YOKOHAMA R,1.09T,6897.00,8443.64,22.4%,11,54%,11,0,A,12.1%,0.6,83,Y,7.6,13.2,0.5,--,3.28%,--,--,22.04,14.3,54.3,-0.7%,03/31,12k,H,value,90
3099.T,ISETAN MITSUKO,1.09T,3131.00,3723.33,18.9%,9.0,44%,9.0,0,A,8.3%,0.1,75,Y,14.6,19.4,0.8,--,1.92%,--,--,14.1,--,12.1,--,06/30,11.5k,S,--,30
BRK.B,BERKSHIRE HATH,1.08T,505.83,547.67,8.3%,4,100%,2,-1,E,8.3%,0.6,94,Y,12.7,22.8,1.4,--,--,1.0%,107.5,--,12.1,17.1,6.6%,06/30,11.5k,I,--,30
7201.T,NISSAN MOTOR C,1.07T,305.60,390.00,27.6%,17.0,17%,17.0,+1,A,4.7%,0.4,66,N,--,-20.8,--,--,--,--,--,-14.4,-7.7,172.4,-127.2%,06/30,11k,S,value,90
6532.T,"BAYCURRENT, IN",1.06T,7199.00,8300.00,15.3%,12,91%,12,-1,A,13.9%,0.8,79,Y,29.1,28.8,1.0,1.2,1.77%,--,--,-12.24,38.6,5.3,3.0%,05/31,12.5k,B,value,90
4021.T,NISSAN CHEMICA,1.05T,7893.00,8888.89,12.6%,9.0,55%,9.0,0,A,6.9%,0.5,91,Y,21.8,24.5,1.0,--,2.71%,--,--,53.75,21.8,17.4,3.5%,06/30,11k,H,value,90
ATCO-A.ST,ATLAS COPCO AB,1.02T,208.80,219.00,4.9%,21.0,76%,21.0,+2,A,3.7%,1.1,98,Y,38.3,32.6,1.1,2.3,1.46%,--,8.2,--,25.7,33.7,2.5%,06/30,10.5k,B,momentum,7
LLY,ELI LILLY AND ,1.00T,1123.91,1315.56,17.1%,30.0,100%,13.0,+1,E,17.1%,0.5,87,Y,37.8,23.8,0.8,1.1,0.60%,0.7%,27.1,50.68,102.3,162.1,1.1%,06/30,13k,B,value+momentum,45
2318.HK,PING AN INSURA,1.00T,55.25,81.65,47.8%,16,100%,16,-1,A,47.8%,0.6,74,N,5.7,5.1,0.3,--,5.71%,--,4.2,5.79,13.1,119.5,250.0%,06/30,15k,B,value,90
1088.HK,CHINA SHENHUA ,989B,45.62,50.23,10.1%,12.0,58%,12.0,0,A,5.9%,0.4,92,Y,14.2,13.8,0.8,--,5.10%,--,42.2,30.96,12.7,29.2,1.9%,06/30,11k,H,value,90
2899.HK,ZIJIN MINING G,982B,36.96,51.29,38.8%,14.0,100%,14.0,-1,A,38.8%,1.0,79,Y,12.7,9.7,0.4,--,2.49%,--,45.5,38.25,36.6,60.3,6.4%,06/30,15k,H,value,90
3092.T,"ZOZO, INC.",972B,1111.00,1239.18,11.5%,17,17%,17,0,A,2.0%,0.6,76,N,20.5,6.5,0.3,3.0,3.52%,--,--,-18.75,51.8,20.4,--,06/30,10.5k,S,value,90
MTELEKOM.BD,MAGYAR TELEKOM,971B,1086.00,--,--,--,--,--,--,,--,--,39,N,4.5,--,--,--,--,--,--,48.39,--,--,--,06/30,10k,I,--,30
6724.T,SEIKO EPSON CO,965B,3012.00,2762.50,-8.3%,8,12%,8,-1,A,-1.0%,0.6,90,Y,56.3,14.9,0.5,--,2.69%,--,--,58.71,3.0,31.2,4.3%,12/31,10k,S,value,90
4005.T,SUMITOMO CHEMI,956B,579.30,651.00,12.4%,11,54%,11,0,A,6.7%,0.5,91,Y,15.6,14.9,0.6,--,2.82%,--,--,25.0,13.2,80.2,10.1%,06/30,11k,H,value,90
5332.T,TOTO LTD.,953B,5800.00,7852.50,35.4%,8,62%,8,0,A,21.9%,1.0,61,N,23.8,23.8,0.8,--,2.07%,--,--,44.48,7.4,4.5,--,06/30,13.5k,H,value,90
EQNR.OL,EQUINOR ASA,945B,398.50,352.98,-11.4%,25.0,12%,25.0,+1,A,-1.4%,-0.7,94,Y,11.6,10.7,0.6,1.1,3.67%,--,2408.6,--,21.3,75.2,3.1%,06/30,10k,S,value,90
JPM,JPMORGAN CHASE,939B,353.51,374.57,6.0%,24.0,80%,15.0,+1,E,4.8%,1.0,96,Y,15.1,14.1,0.9,1.7,1.67%,0.9%,47.0,20.96,17.8,--,--,06/30,11k,B,momentum,7
9005.T,TOKYU CORPORAT,924B,1641.00,2070.00,26.1%,7,42%,7,0,A,11.0%,--,82,N,10.8,14.3,0.6,--,1.94%,--,--,-12.7,--,148.3,--,06/30,12k,S,--,30
3289.T,TOKYU FUDOSAN ,923B,1295.00,1521.82,17.5%,11,45%,11,+1,A,7.9%,0.3,81,N,9.6,11.9,0.4,--,3.86%,--,--,7.48,10.5,206.1,--,06/30,11.5k,S,--,30
4324.T,DENTSU GROUP I,917B,3536.00,3564.44,0.8%,9.0,44%,9.0,0,A,0.4%,0.4,91,Y,--,11.0,0.7,--,--,--,--,13.44,-34.9,92.7,23.7%,03/31,10k,S,--,30
9501.T,TOKYO ELECTRIC,895B,558.50,335.00,-40.0%,2.0,--,2.0,0,A,-0.0,-0.0,59,N,--,2.6,0.1,--,--,--,--,-25.95,12.5,196.1,--,06/30,10k,I,--,30
IVV,ISHARES CORE S,883B,769.20,--,--,--,--,--,--,,--,--,98,Y,24.7,--,--,--,1.06%,--,--,--,--,--,--,--,10k,I,--,30
ATCO-B.ST,ATLAS COPCO AB,881B,180.70,225.00,24.5%,1,100%,1,--,A,24.5%,1.1,98,Y,33.2,24.6,0.9,2.0,1.68%,--,8.2,--,25.7,33.7,2.9%,06/30,14k,I,--,30
7752.T,"RICOH COMPANY,",869B,1553.50,1470.00,-5.4%,9.0,11%,9.0,0,A,-0.6%,0.3,89,Y,16.8,13.5,0.5,--,2.81%,--,--,15.83,7.5,43.4,7.4%,12/31,10k,S,value,90
WMT,WALMART INC.,841B,106.05,127.72,20.4%,43.0,95%,20.0,0,E,19.4%,0.6,78,N,38.4,32.8,1.3,4.1,0.92%,1.4%,3.6,4.55,22.3,71.7,0.8%,07/31,13k,H,value,90
2628.HK,CHINA LIFE INS,837B,29.62,36.01,21.6%,16.0,87%,16.0,-1,A,18.8%,0.9,82,Y,3.0,5.2,0.3,--,3.81%,--,848.0,36.75,41.3,38.5,89.3%,06/30,13k,B,value,90
AMD,ADVANCED MICRO,825B,505.74,615.38,21.7%,54,86%,28,+1,E,18.6%,2.5,86,Y,129.0,32.6,1.0,0.5,--,2.5%,96.7,224.57,10.2,6.4,1.1%,06/30,13k,B,momentum,30
SPY,STATE STREET S,811B,765.96,--,--,--,--,--,--,,--,--,98,Y,24.7,--,--,--,0.98%,--,--,--,--,--,--,--,10k,I,--,30
5406.T,"KOBE STEEL, LT",803B,2031.50,2031.43,-0.0%,7.0,14%,7.0,0,A,-0.0%,0.6,85,Y,8.5,7.4,0.3,--,4.00%,--,--,13.21,5.7,55.4,--,06/30,10k,S,value,90
4042.T,TOSOH CORPORAT,797B,2590.00,3107.78,20.0%,9,33%,9,0,A,6.6%,0.5,84,Y,19.6,11.7,0.5,--,3.90%,--,--,13.95,--,30.4,--,06/30,11k,S,value,90
1299.HK,AIA GROUP LIMI,792B,76.90,102.49,33.3%,20,95%,20,-1,A,31.6%,0.6,83,N,12.9,11.4,0.7,--,2.57%,--,--,7.92,19.6,52.0,0.5%,08/19,15k,H,value,90
4183.T,MITSUI CHEMICA,778B,2152.50,2407.50,11.8%,12.0,41%,12.0,0,A,4.9%,0.8,87,Y,23.5,4.7,0.2,--,3.53%,--,--,17.75,8.0,82.4,-0.8%,06/30,11k,S,--,30
1211.HK,BYD COMPANY LI,764B,83.85,126.57,50.9%,28,85%,28,-1,A,43.3%,0.3,73,N,22.5,12.8,0.5,0.8,0.49%,--,29.7,-20.22,11.6,46.1,-12.6%,06/30,15k,H,value,90
6113.T,"AMADA CO., LTD",755B,2451.00,3198.57,30.5%,8,62%,8,0,A,18.9%,0.8,76,N,24.8,19.1,0.7,--,2.67%,--,--,33.96,--,14.9,--,06/30,13k,H,value,90
0300.HK,MIDEA GROUP CO,750B,98.35,113.75,15.7%,11.0,81%,11.0,-1,A,12.7%,0.5,97,Y,14.4,12.5,0.5,2.0,4.93%,--,1.3,19.19,19.5,37.0,17.2%,06/30,12k,H,value,90
CEZ.PR,"CEZ, A. S.",749B,1397.00,1064.12,-23.8%,11,18%,11,+1,A,-4.3%,0.0,100,Y,25.9,22.9,1.2,--,3.04%,--,-28.6,--,12.0,121.5,2.8%,06/30,10k,S,value,90
1808.T,HASEKO CORPORA,746B,2817.00,3322.50,17.9%,8,62%,8,0,A,11.1%,0.3,80,N,13.8,13.3,0.5,--,3.57%,--,--,15.12,11.6,73.3,--,06/30,12k,H,value,90
543A.T,ARCHION CORPOR,741B,269.00,330.00,22.7%,7.0,28%,7.0,0,A,6.3%,0.4,48,N,1.8,--,--,--,2.95%,--,--,-30.72,50.8,40.7,--,06/30,11k,S,value,90
3861.T,OJI HOLDINGS C,735B,866.40,876.67,1.2%,7.0,14%,7.0,0,A,0.2%,0.1,87,Y,14.2,11.3,0.5,--,4.14%,--,--,7.88,6.0,92.1,--,06/30,10k,S,value,90
4704.T,TREND MICRO IN,730B,5630.00,6411.11,13.9%,9,22%,9,0,A,3.1%,0.4,65,N,20.9,18.9,0.6,--,3.19%,--,--,-25.91,30.0,--,--,03/31,10.5k,S,value,90
2501.T,SAPPORO BREWER,720B,1848.50,1381.00,-25.3%,5.0,20%,5.0,+1,A,-5.1%,-0.1,84,Y,76.4,10.7,0.4,--,2.13%,--,--,26.41,2.4,28.8,-19.0%,03/31,10k,S,value,90
5711.T,MITSUBISHI MAT,705B,5398.00,5490.00,1.7%,5,20%,5,0,A,0.3%,0.8,88,Y,17.4,16.1,0.7,--,2.27%,--,--,114.98,14.5,88.9,--,06/30,10k,S,value,90
VOLV-A.ST,AB VOLVO (PUBL,704B,346.60,365.00,5.3%,1.0,--,1.0,--,A,0.0,1.0,93,Y,19.7,--,--,1.2,2.43%,--,37.5,--,20.9,147.3,3.4%,06/30,10k,I,--,30
VOLV-B.ST,AB VOLVO (PUBL,703B,346.20,353.93,2.2%,22.0,50%,22.0,+1,A,1.1%,1.0,92,Y,19.6,13.9,0.5,1.2,2.44%,--,37.5,--,20.9,147.3,3.4%,06/30,10k,H,value,90
